Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-27,146.84,147.25,145.66,146.48,3205021.0,0.0,1.0,145.24103481758914,145.64657025939798,144.07388403384658,144.88495491746428,3205021.0
2018-04-26,146.6,147.36,146.2,146.72,4264432.0,0.0,1.0,145.00364821750588,145.7553724511028,144.60800388403385,145.1223415175475,4264432.0
2018-04-25,145.79,146.4,144.111,145.94,7324654.0,0.0,1.0,144.20246844222498,144.80582605076987,142.54175135247607,144.35083506727702,7324654.0
2018-04-24,146.51,147.3,144.53,145.56,4916158.0,0.0,1.0,144.9146282424747,145.696025801082,142.95618879178804,143.9749729504786,4916158.0
2018-04-23,145.03,145.96,144.33,145.86,5313292.0,0.0,1.0,143.4507442086281,144.37061728395062,142.75836662505205,144.27170620058263,5313292.0
2018-04-20,147.9,147.97,144.51,144.9,8265643.0,0.0,1.0,146.28949230129007,146.35873005964766,142.93640657511443,143.3221598002497,8265643.0
2018-04-19,149.19,149.2072,146.62,147.7,8085437.0,0.0,1.0,147.56544527673742,147.58245798307672,145.02343043417952,146.09167013455402,8085437.0
2018-04-18,152.14,152.63,148.26,148.79,20374121.0,0.0,1.0,150.48332223609376,150.96798654459704,146.6455722014149,147.16980094326536,20374121.0
2018-04-17,158.82,162.0,158.51,160.91,10117767.0,0.0,1.0,157.09058260507697,160.2359550561798,156.78395824663613,159.15782424746845,10117767.0
2018-04-16,157.99,159.14,157.67,157.89,4185601.0,0.0,1.0,156.2696206131225,157.40709807185462,155.95310514634483,156.17070952975448,4185601.0
2018-04-13,158.67,159.22,155.91,156.71,4056637.0,0.0,1.0,156.94221598002497,157.48622693854904,154.21227007906782,155.00355874601195,4056637.0
2018-04-12,156.75,158.98,156.67,158.07,5639298.0,0.0,1.0,155.04312317935913,157.2488403384658,154.9639943126647,156.3487494798169,5639298.0
